industry_sector,founding_team_size,initial_funding_usd,num_funding_rounds,market_type,country_region,num_competitors_proxy,year_founded,outcome,market_demand,pain_point_severity,idea_novelty,scalability,barriers_to_entry,revenue_model_strength,acquisition_difficulty,willingness_to_pay
Biotechnology,2.0,376848.0,1,Unknown,CAN,740.0,2012,active,7,9,7,5,8,8,5,8
Biotechnology,2.0,9520000.0,3,Unknown,USA,1511.0,1995,ipo,9,9,8,7,8,10,5,9
Web Hosting,2.0,57000000.0,3,Unknown,USA,1010.0,2008,active,7,5,4,7,5,7,6,6
Health Care,2.0,179300000.0,6,Unknown,USA,917.0,2003,ipo,10,8,5,8,6,10,5,9
Public Relations,2.0,988957.0,1,Unknown,USA,1090.0,2007,failed,5,4,3,5,4,5,7,5
Education,2.0,559521.0,1,Unknown,GBR,1305.0,2009,active,7,8,4,6,4,6,6,6
Analytics,1.0,11500000.0,1,B2B,NLD,476.0,2008,active,7,6,5,9,6,10,3,10
Curated Web,2.0,25000.0,1,B2C,GBR,9638.0,2009,failed,5,3,3,5,2,4,10,4
Health Care,2.0,20000000.0,1,Unknown,USA,267.0,2006,acquired,8,8,5,7,6,9,5,9
Software,1.0,18304477.0,7,Unknown,USA,3132.0,2001,active,8,5,4,9,5,7,6,6
Web Tools,1.0,11500000.0,3,Unknown,USA,2003.0,2004,acquired,8,5,4,7,4,7,6,6
Fashion,2.0,1200.0,1,B2C,IDN,1511.0,2013,active,5,4,3,6,2,5,9,4
Music,2.0,1200000.0,1,B2C,USA,1511.0,2013,active,6,4,3,6,3,6,7,5
Health Care,2.0,11400000.0,2,Unknown,USA,33.0,1995,active,8,8,9,6,7,9,5,8
Software,2.0,665000.0,2,Unknown,USA,8440.0,2009,active,6,5,4,8,4,6,6,6
Reviews And Recommendations,3.0,5560000.0,4,Unknown,BRA,918.0,2010,active,7,5,4,7,4,7,6,6
Games,2.0,3742500.0,1,B2C,USA,1511.0,2006,active,7,4,4,7,3,6,9,5
Security,2.0,2020000.0,2,B2B,ISR,1511.0,2012,active,8,8,3,7,4,10,4,10
Software,1.0,3549916.0,1,Unknown,USA,6544.0,2007,active,7,5,4,8,4,6,6,6
Software,2.0,10000000.0,1,Unknown,USA,1978.0,1997,acquired,7,5,5,9,4,7,6,6
Infrastructure,2.0,20750000.0,2,B2B,USA,2003.0,2008,acquired,8,6,4,8,5,9,5,8
Hospitality,2.0,2950000.0,2,Unknown,USA,261.0,2012,active,7,5,5,6,6,6,5,6
Health Care,2.0,37673932.0,6,Unknown,USA,267.0,2006,acquired,9,8,5,7,6,10,5,9
Therapeutics,2.0,85060000.0,5,Unknown,USA,128.0,1991,ipo,9,6,8,8,7,8,4,7
Mobile,1.0,300000.0,1,Unknown,USA,314.0,2011,active,6,5,5,8,6,6,5,6
Messaging,2.0,276108581.0,3,Unknown,USA,57.0,2005,ipo,9,6,7,8,7,8,4,7
Hardware + Software,2.0,20407600.0,5,Unknown,USA,803.0,2012,ipo,9,6,4,10,8,8,5,6
Biotechnology,2.0,16967648.0,3,Unknown,USA,1511.0,2013,ipo,9,9,6,7,8,10,5,9
Location Based Services,2.0,50000.0,1,Unknown,USA,1174.0,2010,failed,5,4,3,5,4,4,7,5
E-Commerce,2.0,1500000.0,1,B2C,ISR,8391.0,2010,active,7,5,4,8,4,6,7,6
Predictive Analytics,2.0,35600000.0,6,B2B,USA,6544.0,2007,active,8,6,4,10,5,10,4,10
Software,2.0,20000.0,1,Unknown,USA,5080.0,2013,failed,5,4,2,6,4,4,7,4
Software,2.0,50000.0,1,Unknown,USA,7534.0,2011,failed,5,4,3,7,4,4,7,5
Software,2.0,500000.0,1,Unknown,USA,7534.0,2011,acquired,7,5,4,8,4,7,6,6
Mobile Advertising,2.0,3500000.0,2,Unknown,GBR,3774.0,2011,active,7,5,4,8,4,6,6,6
Software,1.0,23980000.0,3,Unknown,DEU,3132.0,2001,acquired,8,5,4,9,5,7,6,6
Cloud Management,2.0,16300000.0,2,B2B,USA,2003.0,2008,acquired,8,6,4,10,5,9,5,8
Manufacturing,2.0,54600000.0,3,B2B,USA,131.0,2007,active,8,6,6,8,6,8,4,7
Social Media,2.0,2200000.0,1,B2C,USA,2381.0,2010,failed,5,3,3,7,3,4,10,4
Social Media,1.0,1000000.0,1,B2C,CAN,2245.0,2010,failed,5,3,3,7,3,4,10,4
Biotechnology,2.0,29941703.0,6,Unknown,USA,1264.0,2009,ipo,10,9,6,7,8,10,5,9
Crm,2.0,3500000.0,1,B2B,USA,2245.0,2010,failed,6,5,3,6,4,7,5,6
Software,2.0,4000000.0,1,Unknown,USA,4037.0,2004,failed,6,4,3,7,4,5,7,5
Enterprise Software,3.0,3500000.0,2,B2B,USA,2249.0,2009,failed,6,5,3,8,4,9,5,9
Big Data,2.0,66466131.0,3,Unknown,USA,4669.0,2005,ipo,8,6,5,8,6,8,5,7
Biotechnology,2.0,122987972.0,5,Unknown,USA,1285.0,2008,ipo,10,9,6,7,8,10,5,9
Saas,2.0,800000.0,1,B2B,USA,1511.0,2012,acquired,7,6,3,9,4,10,4,10
Social Media,3.0,6100000.0,2,B2C,USA,669.0,2009,acquired,7,4,5,9,4,7,8,5
Mobile,2.0,7119238.0,2,Unknown,USA,1511.0,2012,ipo,8,6,4,9,5,8,5,6
Semiconductors,2.0,239000000.0,1,Unknown,CHN,1511.0,1997,ipo,8,7,8,7,8,8,5,7
Enterprise Software,2.0,14000000.0,2,B2B,USA,6544.0,2007,active,8,6,4,9,4,10,4,10
Biotechnology,3.0,2000000.0,1,Unknown,USA,740.0,2012,active,7,9,7,5,8,8,5,8
Twitter Applications,2.0,250000.0,1,Unknown,USA,4736.0,2009,acquired,7,5,4,6,4,6,6,6
Doctors,2.0,1000000.0,1,Unknown,TUR,436.0,2013,active,6,5,5,6,6,6,5,6
Consumer Electronics,3.0,16500000.0,3,B2C,USA,8589.0,2011,acquired,8,5,4,8,5,7,9,6
E-Commerce,2.0,130552663.0,5,B2C,USA,4669.0,2005,ipo,9,6,5,10,6,8,6,7
Hardware + Software,2.0,9100000.0,1,Unknown,USA,2602.0,1999,acquired,7,5,5,9,7,7,6,6
Curated Web,3.0,9000000.0,2,B2C,USA,1438.0,2002,acquired,7,4,4,7,3,7,9,5
Social Media,2.0,4695100.0,2,B2C,DEU,5396.0,2006,acquired,7,4,4,9,3,7,9,5
Email,2.0,1500000.0,1,Unknown,USA,4004.0,2005,active,6,5,4,6,4,6,6,6
Curated Web,2.0,5750000.0,2,B2C,USA,1511.0,2009,failed,6,3,3,6,3,5,10,4
Market Research,2.0,2600000.0,2,Unknown,USA,91.0,2007,active,7,5,6,6,6,6,5,6
Sports,2.0,10000000.0,1,B2C,USA,1511.0,2005,acquired,7,4,4,7,3,6,7,5
Social Media,2.0,24000.0,1,B2C,ARE,810.0,2013,active,6,4,3,8,2,5,9,4
Hardware + Software,2.0,4500000.0,2,Unknown,USA,127.0,1994,ipo,8,6,8,9,9,8,4,6
Biotechnology,2.0,19904010.0,6,Unknown,CAN,512.0,1998,ipo,10,9,9,7,10,10,4,9
Mobile,2.0,3400000.0,1,Unknown,USA,2862.0,2000,acquired,7,5,5,8,4,7,6,6
Medical Devices,2.0,7000000.0,1,Unknown,ISR,1511.0,2004,ipo,9,9,7,6,8,7,5,6
Photography,2.0,2300000.0,1,B2C,USA,26.0,2003,active,7,5,8,6,7,6,6,6
Graphics,2.0,781663.0,1,Unknown,BEL,116.0,2012,active,6,5,6,6,6,6,5,6
Parking,2.0,5000000.0,1,Unknown,CAN,1511.0,2008,ipo,7,6,4,7,5,7,5,6
Technology,1.0,143007658.0,7,Unknown,JPN,856.0,2004,active,8,5,4,7,5,7,6,6
Curated Web,2.0,2000000.0,1,B2C,USA,6870.0,2007,failed,5,3,3,5,3,4,10,4
Mobile,5.0,400000.0,1,Unknown,ISR,3417.0,2012,active,6,5,3,8,4,6,6,6
Enterprise Software,2.0,3000000.0,1,B2B,USA,1511.0,2004,failed,6,5,3,8,4,9,5,9
Saas,2.0,700000.0,1,B2B,USA,3128.0,2011,acquired,7,6,4,9,4,10,4,10
Software,1.0,250000.0,1,Unknown,NZL,6544.0,2007,failed,5,4,3,7,4,5,7,5
Internet Marketing,2.0,2000000.0,1,B2B,CAN,1511.0,2008,active,7,6,4,7,4,8,5,7
Finance,2.0,8350000.0,3,Unknown,CHN,1511.0,2003,active,8,8,4,7,4,9,5,8
Consumer Electronics,2.0,66300000.0,6,B2C,USA,344.0,1998,acquired,9,5,7,8,6,8,8,6
Manufacturing,2.0,450000.0,1,B2B,USA,1511.0,2012,active,7,6,3,7,4,8,5,7
Enterprise Software,2.0,82269487.0,4,B2B,USA,612.0,2002,active,8,6,6,10,6,10,3,10
Analytics,2.0,13622803.0,6,B2B,USA,805.0,1997,ipo,9,6,6,10,5,10,4,10
Hardware + Software,2.0,440000.0,1,Unknown,USA,1511.0,2009,active,6,5,4,8,7,6,6,6
Sales And Marketing,2.0,3100000.0,2,B2B,USA,7220.0,2012,acquired,8,6,3,7,4,8,5,8
Health Care Information Technology,2.0,7003853.0,1,Unknown,USA,1511.0,2000,active,8,8,5,6,4,8,6,8
Content Discovery,2.0,3050000.0,2,Unknown,USA,3186.0,2011,acquired,7,5,4,6,4,7,6,6
Cloud Data Services,2.0,6777331.0,2,B2B,AUS,1511.0,2000,ipo,8,6,6,10,5,9,5,8
Sustainability,2.0,10000.0,1,Unknown,USA,2249.0,2009,failed,4,4,3,4,4,4,7,4
Entertainment,2.0,475000.0,4,B2C,USA,3186.0,2011,active,7,4,4,7,3,6,9,5
Search,3.0,33000000.0,2,Unknown,USA,570.0,2005,failed,6,4,5,5,6,6,6,5
Mobile,2.0,20535582.0,10,Unknown,USA,3774.0,2011,ipo,9,6,4,10,6,8,5,6
Software,2.0,75000.0,1,Unknown,USA,1511.0,2010,active,6,5,4,8,4,6,6,5
Mobile,2.0,300000.0,1,Unknown,GBR,3969.0,2009,failed,5,4,3,7,4,5,7,5
Health Care,1.0,246700000.0,4,Unknown,USA,1236.0,2007,ipo,10,8,4,8,6,10,5,9
Biotechnology,2.0,210384730.0,1,Unknown,SWE,275.0,1995,ipo,9,9,9,7,10,10,4,9
Iphone,2.0,9800000.0,2,Unknown,USA,351.0,2010,acquired,7,5,5,7,6,7,5,6
Biotechnology,2.0,1200000.0,1,Unknown,USA,660.0,2000,acquired,8,9,9,6,8,9,5,8
Social Media,4.0,1550000.0,2,B2C,USA,8589.0,2011,failed,6,3,3,7,3,5,10,4
E-Commerce,2.0,3000000.0,3,B2C,TUR,1511.0,2011,active,7,5,4,9,4,7,7,6
Curated Web,2.0,4099999.0,1,B2C,SGP,7220.0,2012,ipo,7,4,4,7,4,7,8,5
Security,2.0,5136706.0,1,B2B,USA,1511.0,2001,acquired,9,8,4,7,4,10,4,10
Online Shopping,2.0,86547.0,1,Unknown,GBR,4790.0,2010,failed,5,4,3,5,4,5,7,5
Health Care,2.0,2000000.0,1,Unknown,USA,7220.0,2012,acquired,8,8,3,6,4,9,6,9
Seo,2.0,3000000.0,1,Unknown,ISR,1511.0,2012,active,7,5,3,6,4,6,6,6
Biotechnology,2.0,74200000.0,1,Unknown,USA,275.0,1995,ipo,9,9,9,7,10,10,4,9
Software,2.0,3103918.0,2,Unknown,USA,1511.0,1993,active,7,5,5,8,4,6,6,6
Biotechnology,1.0,120500000.0,5,Unknown,USA,999.0,2004,failed,8,8,5,5,7,8,7,8
Advertising,2.0,1000000.0,1,Unknown,ISR,3519.0,2009,acquired,7,5,4,8,4,7,6,6
Curated Web,2.0,10000.0,1,B2C,CAN,8589.0,2011,failed,4,3,3,5,2,4,10,3
Search,1.0,2500000.0,1,Unknown,USA,1080.0,2008,acquired,7,5,4,6,4,7,6,6
Social Media,2.0,20000000.0,2,B2C,IND,4647.0,2012,active,7,4,3,9,3,6,9,5
Hardware + Software,2.0,25000.0,1,Unknown,EST,912.0,2011,active,6,5,4,7,6,6,6,5
Curated Web,2.0,425000.0,2,B2C,USA,8589.0,2011,active,6,4,4,6,3,6,9,5
Mobile Games,1.0,60000.0,2,B2C,AUS,1354.0,2012,active,6,4,3,8,2,5,9,4
Curated Web,2.0,540000.0,1,B2C,CAN,7220.0,2012,failed,5,3,2,5,3,4,10,4
Software,2.0,197000.0,1,Unknown,USA,1511.0,2013,active,6,5,3,8,4,6,6,5
Startups,2.0,1575000.0,3,Unknown,USA,720.0,2009,acquired,7,5,5,7,6,7,5,6
Clean Technology,1.0,31572684.0,4,Unknown,USA,708.0,2008,active,8,9,7,6,9,7,5,6
Information Security,2.0,20000000.0,1,B2B,USA,1511.0,2007,ipo,9,9,4,8,6,10,4,10
Search,1.0,3750000.0,1,Unknown,GBR,644.0,2013,active,7,5,5,6,6,6,5,6
Curated Web,2.0,4854004.0,3,B2C,USA,9634.0,2010,active,7,4,4,7,3,6,9,5
Sports,3.0,107632220.0,7,B2C,USA,56.0,2003,active,8,4,7,7,5,7,6,5
Web Hosting,2.0,50000000.0,1,Unknown,USA,2773.0,2004,acquired,7,5,4,7,5,7,6,6
Social Media,3.0,1750000.0,3,B2C,USA,6870.0,2007,active,7,4,4,9,3,6,9,5
Software,2.0,100000.0,1,Unknown,USA,810.0,2013,active,6,5,3,8,4,6,6,5
News,2.0,180000.0,1,B2C,USA,301.0,2012,active,7,5,5,6,6,6,6,5
Software,2.0,378000.0,1,Unknown,USA,3702.0,2003,failed,5,4,3,7,4,5,7,5
Advertising,2.0,12000000.0,2,Unknown,USA,2176.0,2006,acquired,7,5,4,9,4,7,6,6
Peer-To-Peer,2.0,2000000.0,1,Unknown,RUS,397.0,2011,failed,5,4,4,5,6,5,6,5
Business Intelligence,2.0,5000000.0,2,Unknown,FRA,607.0,2009,active,7,5,5,6,6,7,5,6
Art,3.0,500000.0,1,Unknown,USA,4329.0,2011,active,6,5,4,6,4,6,6,6
Wireless,2.0,33000000.0,1,Unknown,CAN,449.0,2001,ipo,8,6,6,7,7,8,4,7
Mobile,2.0,16000.0,1,Unknown,ISL,3774.0,2011,failed,5,4,3,6,4,4,7,4
Television,1.0,5575000.0,2,Unknown,USA,2664.0,2012,active,7,5,3,6,4,7,6,6
Online Gaming,2.0,1204795.0,3,Unknown,DEU,2723.0,2007,failed,6,4,3,5,4,5,7,5
Semiconductors,2.0,4880000.0,1,Unknown,CAN,337.0,2000,failed,6,5,8,4,8,5,6,5
Clean Energy,2.0,4200000.0,1,Unknown,USA,514.0,2011,failed,6,4,4,5,6,5,6,5
Biotechnology,2.0,31000000.0,2,Unknown,USA,59.0,1992,ipo,9,9,10,7,10,10,4,9
Biotechnology,2.0,22551008.0,5,Unknown,USA,1150.0,2006,active,9,9,6,6,7,9,6,8
Software,2.0,16542968.0,4,Unknown,USA,540.0,2001,active,7,5,6,9,6,7,5,6
Security,2.0,350000.0,1,B2B,BRA,856.0,2004,active,8,8,4,7,4,9,4,10
Advertising,1.0,300000.0,1,Unknown,CHN,3519.0,2009,failed,5,4,3,7,4,5,7,5
Health Care,2.0,217200000.0,5,Unknown,USA,821.0,2002,ipo,10,8,5,8,6,10,5,9
Clean Technology,2.0,8362900.0,1,Unknown,NLD,213.0,2001,active,8,9,8,6,8,6,5,6
Biotechnology,2.0,240040000.0,3,Unknown,USA,275.0,1995,ipo,10,9,9,7,10,10,4,9
Fitness,1.0,379892.0,2,B2C,GBR,499.0,2009,failed,6,4,4,5,6,5,7,5
Social Buying,2.0,30143747.0,3,Unknown,USA,3607.0,2009,active,7,4,4,7,3,6,8,5
Biotechnology,2.0,24100000.0,1,Unknown,ISR,1511.0,2003,ipo,9,9,7,7,8,10,5,9
Software,1.0,6797785.0,3,Unknown,USA,8440.0,2009,failed,6,4,3,8,4,5,7,5
Hardware + Software,1.0,9856183.0,2,Unknown,USA,2245.0,2010,acquired,7,5,4,9,7,7,6,6
Services,2.0,1356885.0,1,Unknown,IRL,8440.0,2009,active,6,5,4,6,4,6,6,6
Biotechnology,2.0,2564788.0,1,Unknown,USA,1511.0,2007,active,8,9,6,5,7,8,6,8
E-Commerce,2.0,30000000.0,1,B2C,USA,2460.0,2006,failed,6,4,3,8,5,5,8,5
Social Media,2.0,5000000.0,1,B2C,ISR,1301.0,2005,active,7,4,4,9,3,6,9,5
Advertising,2.0,4100000.0,1,Unknown,USA,4004.0,2005,failed,6,4,3,7,4,5,7,5
Finance,2.0,100000.0,1,Unknown,USA,1511.0,2014,active,7,8,3,6,4,8,5,8
Cloud Computing,2.0,31597282.0,5,B2B,SGP,439.0,1999,acquired,9,6,7,10,6,9,4,8
Advertising,3.0,6000000.0,1,Unknown,USA,841.0,2002,acquired,7,5,4,9,4,7,6,6
Software,2.0,25000.0,1,Unknown,USA,5080.0,2013,active,6,5,3,7,4,6,6,5
Public Transportation,3.0,5817312.0,7,Unknown,USA,53.0,2006,active,7,5,6,7,6,7,5,6
Clean Technology,2.0,54000000.0,3,Unknown,USA,682.0,2007,failed,7,8,6,5,9,6,6,5
Software,2.0,23999999.0,3,Unknown,USA,1511.0,2006,ipo,8,6,4,10,6,8,5,7
Collaboration,2.0,369318.0,2,Unknown,BEL,6447.0,2013,active,6,5,3,6,4,6,6,6
Health Care,2.0,24983103.0,6,Unknown,ISR,1511.0,2005,ipo,10,8,5,8,6,10,5,9
Internet,2.0,9000000.0,2,Unknown,IND,314.0,2011,active,7,5,5,6,6,7,5,6
Biotechnology,1.0,253614965.0,5,Unknown,USA,1084.0,2005,ipo,10,9,7,7,8,10,5,9
Enterprise Software,2.0,33000000.0,4,B2B,USA,1346.0,2006,acquired,8,6,4,10,5,10,4,10
Clean Technology,2.0,1400000.0,1,Unknown,USA,107.0,1997,active,7,9,10,5,8,6,5,6
Security,2.0,200000.0,1,B2B,USA,2060.0,2013,active,8,8,3,7,4,9,4,9
Search,3.0,7000000.0,1,Unknown,USA,570.0,2005,acquired,7,5,6,7,6,7,5,6
Web Design,3.0,4100000.0,2,Unknown,USA,5396.0,2006,acquired,7,5,4,6,4,7,6,6
Advertising,2.0,10400000.0,2,Unknown,USA,1511.0,2012,ipo,8,6,4,9,5,8,5,6
Education,2.0,243000.0,5,Unknown,USA,582.0,2007,active,8,8,5,6,6,7,5,6
Health Care,2.0,132500.0,1,Unknown,USA,294.0,2009,active,7,8,5,6,6,8,5,8
Media,2.0,2894276.0,2,B2C,USA,1511.0,2010,active,7,4,4,6,3,6,7,5
Health Care,2.0,4537001.0,1,Unknown,USA,203.0,2012,active,8,8,5,6,6,8,5,8
Biotechnology,2.0,1676516.0,4,Unknown,GBR,1511.0,1999,ipo,9,9,8,7,8,10,5,9
Biotechnology,2.0,28793158.0,3,Unknown,USA,1285.0,2008,active,8,9,6,6,7,9,6,8
Mobile,2.0,30500000.0,2,Unknown,USA,1737.0,2006,failed,6,4,3,7,5,6,7,5
Mobile,1.0,3378975.0,1,Unknown,USA,1281.0,2005,active,7,5,4,8,4,6,6,6
Clean Technology,2.0,71900834.0,6,Unknown,USA,153.0,1999,acquired,9,9,10,7,9,8,5,6
Curated Web,2.0,467880.0,1,B2C,DEU,4004.0,2005,failed,5,3,3,5,3,4,10,4
Sports,2.0,270000.0,1,B2C,USA,1511.0,2011,active,6,4,4,6,3,5,7,5
Education,1.0,700000.0,2,Unknown,USA,9634.0,2010,failed,6,7,3,5,4,5,7,5
Biotechnology,2.0,98329011.0,3,Unknown,BEL,723.0,2001,ipo,9,9,8,7,10,10,4,9
Biotechnology,2.0,96700000.0,1,Unknown,USA,1511.0,1990,ipo,9,9,8,7,8,10,5,9
Startups,1.0,6892400.0,4,Unknown,GBR,305.0,2007,active,7,5,5,7,6,7,5,6
Biotechnology,1.0,15374996.0,4,Unknown,USA,597.0,1999,ipo,9,9,9,7,10,10,4,9
Specialty Foods,2.0,1265000.0,3,B2C,USA,1511.0,2013,active,7,4,3,7,3,6,9,5
Design,2.0,920000.0,2,Unknown,USA,898.0,2011,active,7,5,4,6,4,6,6,6
Entertainment,2.0,800.0,1,B2C,USA,1511.0,2010,active,5,4,4,6,2,5,9,4
Mobile,2.0,500000.0,1,Unknown,USA,3233.0,2008,failed,5,4,3,7,4,5,7,5
Games,1.0,4340000.0,3,B2C,USA,3280.0,2008,acquired,7,4,4,7,3,7,9,5
Twitter Applications,3.0,3269528.0,3,Unknown,GBR,684.0,2011,active,7,5,5,6,6,7,5,6
Sales And Marketing,2.0,72360.0,2,B2B,FRA,1511.0,2009,failed,6,5,3,6,4,6,6,6
Security,2.0,8400000.0,1,B2B,USA,1978.0,1997,acquired,9,8,5,8,4,10,4,10
Biotechnology,2.0,12631268.0,2,Unknown,CAN,1285.0,2008,ipo,9,9,6,6,8,10,5,9
Brand Marketing,3.0,110000.0,1,B2B,CAN,2664.0,2012,active,6,6,3,7,4,7,5,7
Finance,2.0,37100000.0,3,Unknown,USA,1511.0,2012,active,8,8,3,7,5,9,5,8
Technology,2.0,83649920.0,2,Unknown,USA,1511.0,1994,ipo,8,6,6,7,6,8,5,7
Privacy,2.0,1836950.0,1,Unknown,USA,803.0,2012,active,6,5,3,6,4,6,6,6
Retail,2.0,1340000.0,2,Unknown,DNK,1511.0,2012,active,7,5,3,6,4,6,6,6
Curated Web,1.0,924752.0,1,B2C,USA,5396.0,2006,acquired,7,4,4,7,3,6,9,5
Social Media Management,3.0,20000.0,1,B2C,USA,7534.0,2012,active,6,4,3,8,2,5,9,4
Mobile,2.0,10000.0,1,Unknown,USA,3417.0,2012,failed,4,4,2,6,4,4,7,4
Content Discovery,3.0,3200000.0,1,Unknown,USA,1511.0,2012,active,7,5,3,6,4,6,6,6
Software,2.0,500000.0,2,Unknown,IND,1511.0,2012,active,6,5,3,8,4,6,6,6
Recruiting,2.0,18000.0,1,B2B,USA,9638.0,2009,failed,5,5,3,5,4,6,6,6
Health Care,1.0,16000000.0,4,Unknown,USA,283.0,2007,active,8,8,5,7,6,9,5,8
Technology,2.0,100000.0,1,Unknown,USA,1511.0,2014,active,6,5,3,6,4,6,6,5
Technology,2.0,1400000.0,1,Unknown,USA,618.0,2010,acquired,7,5,5,6,6,7,5,6
Consulting,2.0,20000000.0,1,Unknown,USA,758.0,2000,acquired,7,5,7,7,6,7,5,6
Vacation Rentals,2.0,900000.0,1,Unknown,DEU,1511.0,2014,active,6,5,3,6,4,6,6,6
Health Care,2.0,118352074.0,6,Unknown,USA,431.0,1997,ipo,10,8,7,8,7,10,4,9
Internet,2.0,400000.0,1,Unknown,CHN,1354.0,2012,active,6,5,3,6,4,6,6,6
Social Media,2.0,4678000.0,4,B2C,USA,3607.0,2009,active,7,4,4,9,3,6,9,5
Entertainment,2.0,317.0,1,B2C,USA,1511.0,2014,active,5,4,3,6,2,5,9,4
Home Automation,2.0,25000.0,1,B2C,ARG,3774.0,2011,active,6,5,4,6,4,6,7,5
Web Hosting,2.0,1300000.0,1,Unknown,USA,1511.0,2014,active,6,5,3,6,4,6,6,6
Seo,1.0,20000000.0,1,Unknown,USA,699.0,2003,acquired,7,5,6,7,6,7,5,6
Location Based Services,3.0,900000.0,4,Unknown,USA,898.0,2011,failed,6,4,3,5,4,5,7,5
Biotechnology,2.0,6500000.0,1,Unknown,USA,1236.0,2007,acquired,8,9,6,6,7,9,6,9
Software,2.0,50000.0,1,Unknown,USA,6447.0,2012,failed,5,4,2,7,4,4,7,5
Advertising,1.0,4057165.0,2,Unknown,USA,4037.0,2004,active,7,5,4,8,4,6,6,6
Biotechnology,2.0,15400000.0,2,Unknown,CAN,660.0,2000,ipo,9,9,9,7,10,10,4,9
Software,3.0,1379372.0,2,Unknown,USA,8391.0,2010,acquired,7,5,4,8,4,7,6,6
Financial Services,2.0,183352.0,1,Unknown,GBR,2228.0,2005,failed,5,4,3,5,4,5,7,5
Software,2.0,21000000.0,2,Unknown,USA,6544.0,2007,acquired,8,5,4,9,5,7,6,6
Identity Management,2.0,2395501.0,5,Unknown,USA,1424.0,2002,active,7,5,4,6,4,7,6,6
